time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-27T12:50:46.460Z,35.8641667,-117.6788333,1,0.77,ml,12,85,0.08186,0.2,ci,ci39096768,2019-09-27T12:54:38.658Z,"22km ESE of Little Lake, CA",earthquake,0.33,0.84,0.176,10,automatic,ci,ci
2019-09-27T12:49:13.320Z,19.4593334,-155.595993,0.36,1.85,md,20,64,0.009811,0.31,hv,hv71152876,2019-09-27T12:52:19.180Z,"28km E of Honaunau-Napoopoo, Hawaii",earthquake,0.56,0.87,0.11,9,automatic,hv,hv
2019-09-27T12:49:13.090Z,33.6086667,-116.8073333,5.69,0.33,ml,20,53,0.03905,0.14,ci,ci39096760,2019-09-27T12:53:07.645Z,"14km WNW of Anza, CA",earthquake,0.31,0.53,0.147,9,automatic,ci,ci
2019-09-27T12:41:12.691Z,62.4508,-151.1802,61.3,1.2,ml,,,,0.75,ak,ak019ceqhpxh,2019-09-27T12:44:17.575Z,"57km WNW of Talkeetna, Alaska",earthquake,,2.1,,,automatic,ak,ak
2019-09-27T12:37:37.620Z,37.651001,-118.9511642,5,0.51,md,8,130,0.01753,0.02,nc,nc73281875,2019-09-27T12:52:02.441Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.36,2.79,0.08,7,automatic,nc,nc
2019-09-27T12:30:59.010Z,35.864,-117.6755,4.78,0.6,ml,11,88,0.07959,0.15,ci,ci39096744,2019-09-27T12:34:44.092Z,"22km ESE of Little Lake, CA",earthquake,0.3,0.56,0.072,7,automatic,ci,ci
2019-09-27T12:18:56.550Z,35.9161667,-117.6975,3.02,0.9,ml,14,76,0.04965,0.1,ci,ci39096720,2019-09-27T12:22:32.446Z,"19km E of Little Lake, CA",earthquake,0.2,0.83,0.094,5,automatic,ci,ci
2019-09-27T12:15:34.600Z,35.9731667,-117.6745,2.18,1.27,ml,18,62,0.03192,0.11,ci,ci39096712,2019-09-27T12:19:22.608Z,"21km E of Little Lake, CA",earthquake,0.18,0.2,0.122,18,automatic,ci,ci
2019-09-27T12:14:14.300Z,19.3101673,-155.3964996,64.91,1.99,md,37,180,0.08521,0.28,hv,hv71152806,2019-09-27T12:17:30.180Z,"14km NE of Pahala, Hawaii",earthquake,2.4,3.73,0.14,3,automatic,hv,hv
2019-09-27T12:09:35.180Z,19.22,-67.2658,31,3.52,md,23,215,0.7682,0.78,pr,pr2019270004,2019-09-27T12:49:29.790Z,"82km NNW of San Antonio, Puerto Rico",earthquake,3.42,25.56,0.25,13,reviewed,pr,pr
2019-09-27T12:05:02.639Z,-30.1309,-177.8266,35,6,mww,,23,0.887,1.09,us,us70005mea,2019-09-27T12:34:37.383Z,"96km S of Raoul Island, New Zealand",earthquake,8,1.9,0.073,18,reviewed,us,us
2019-09-27T12:04:33.628Z,63.5742,-150.7424,7.7,1.4,ml,,,,0.39,ak,ak019ceq9u1f,2019-09-27T12:09:00.146Z,"91km WNW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-27T11:55:25.270Z,63.5766,-150.7819,7.1,1.6,ml,,,,0.65,ak,ak019cepzbbi,2019-09-27T12:02:38.307Z,"93km WNW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-27T11:44:52.140Z,37.645668,-118.9499969,4.96,0.7,md,9,85,0.0219,0.02,nc,nc73281865,2019-09-27T12:04:03.125Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.3,2.05,0.22,9,automatic,nc,nc
2019-09-27T11:33:19.740Z,35.5321667,-117.3658333,7.79,1.37,ml,29,68,0.007279,0.21,ci,ci39096688,2019-09-27T11:44:12.380Z,"26km S of Trona, CA",earthquake,0.36,0.67,0.097,20,automatic,ci,ci
2019-09-27T11:31:00.610Z,34.026,-117.5346667,2.14,0.99,ml,18,86,0.03093,0.21,ci,ci39096680,2019-09-27T11:34:38.137Z,"4km NNW of Mira Loma, CA",earthquake,0.4,0.46,0.225,32,automatic,ci,ci
2019-09-27T11:29:16.500Z,35.697,-117.4988333,10.4,1.27,ml,23,75,0.06896,0.19,ci,ci39096672,2019-09-27T11:33:00.123Z,"12km SW of Searles Valley, CA",earthquake,0.35,0.67,0.167,16,automatic,ci,ci
2019-09-27T11:26:39.530Z,35.5341667,-117.366,8.61,2.17,ml,36,67,0.009274,0.15,ci,ci39096664,2019-09-27T11:37:15.940Z,"26km S of Trona, CA",earthquake,0.24,0.46,0.138,25,automatic,ci,ci
2019-09-27T11:25:39.200Z,35.7086667,-117.5015,9.15,1.19,ml,21,139,0.07682,0.21,ci,ci39096656,2019-09-27T11:29:20.461Z,"11km SW of Searles Valley, CA",earthquake,0.44,1.06,0.108,14,automatic,ci,ci
2019-09-27T11:21:28.645Z,60.0123,-152.6655,96,1.9,ml,,,,0.44,ak,ak019ceps18m,2019-09-27T11:26:30.832Z,"52km S of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-27T11:21:24.548Z,-23.1829,-69.113,107.2,4.6,mwr,,62,0.635,0.89,us,us70005mde,2019-09-27T11:48:56.040Z,"81km SSW of Calama, Chile",earthquake,5,5.2,,,reviewed,us,guc
